Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	12425986	12426106	miRNA	Mir6341	+	121	1	0.04	0.09521829214740411
chr1	12667563	12673090	lncRNA	Gm17644	+	3200	542	0.85	1.9514393861284551
chr1	12692197	12861192	protein_coding	Sulf1	+	6705	80	0.06	0.13746652766396297
chr1	12866549	12992796	protein_coding	Slco5a1	-	10076	4	0.00	0.00457380442629452
chr1	13090688	13104959	lncRNA	Gm39592	-	253	0	0.00	0.0
chr1	13113428	13127163	protein_coding	Prdm14	-	2593	3	0.01	0.013329826474935478
chr1	13139105	13374227	protein_coding	Ncoa2	-	25972	8194	1.58	3.6349322727766573
chr1	13334498	13334609	snRNA	LOC115487625	-	112	0	0.00	0.0
chr1	13392554	13422408	lncRNA	Gm39595	-	217	0	0.00	0.0
chr1	13564693	13589910	protein_coding	Tram1	-	2943	10255	17.40	40.14682089791611
chr1	13625893	13660583	protein_coding	Lactb2	-	1968	4694	11.91	27.480444239903303
chr1	13668738	13702230	protein_coding	Xkr9	+	2659	0	0.00	0.0
chr1	13774334	13774464	snoRNA	LOC115485793	-	131	0	0.00	0.0
chr1	13785685	13786929	transcribed_pseudogene	Gm5523	-	1245	838	3.36	7.754975411375487
chr1	13846500	13881933	lncRNA	Gm31195	+	573	0	0.00	0.0
chr1	14042254	14141388	lncRNA	Gm39596	+	830	1	0.01	0.013881220903416746
chr1	14168953	14311035	protein_coding	Eya1	-	6394	1111	0.87	2.00192215071437
chr1	14753344	14756089	protein_coding	Msc	-	1990	2	0.01	0.011579309899332561
chr1	14755987	14793322	lncRNA	LOC105243866	+	12776	3	0.00	0.0027054038861543278
chr1	14872644	14918862	protein_coding	Trpa1	-	4267	8	0.01	0.021600962455750453
chr1	15286925	15723751	protein_coding	Kcnb2	+	16777	7	0.00	0.004807170140600303
chr1	15374637	15455813	protein_coding	LOC115485680	+	81177	621	0.04	0.08813823731165345
chr1	15555433	15567154	lncRNA	LOC115487079	-	8670	137	0.08	0.18205693528575753
chr1	15571225	15617864	lncRNA	LOC115487080	-	22371	27	0.01	0.013905420430269958
chr1	15757832	15757963	snoRNA	LOC115485792	+	132	0	0.00	0.0
chr1	15805546	15844052	protein_coding	Terf1	+	2712	3607	6.64	15.323649687632036
chr1	15853862	15892722	protein_coding	Sbspon	-	2748	32	0.06	0.1341649298379726
chr1	15905205	15907764	lncRNA	Gm31523	+	1959	0	0.00	0.0
chr1	16065974	16093345	protein_coding	4930444P10Rik	-	1869	12	0.03	0.07397376147567189
chr1	16101295	16104433	protein_coding	Rpl7	-	934	78659	420.61	970.3028401335566
chr1	16105882	16132550	protein_coding	Rdh10	+	2295	1187	2.58	5.9590055103508535
chr1	16228803	16520332	protein_coding	Stau2	-	9265	1848	1.00	2.2980649617373703
chr1	16253533	16268346	lncRNA	Gm7568	+	5830	17	0.01	0.03359588798408409
chr1	16296758	16314734	lncRNA	LOC115487081	-	13261	111	0.04	0.09643894742717628
chr1	16540788	16619460	protein_coding	Ube2w	-	20130	4712	1.17	2.6969150374777318
chr1	16641725	16657428	protein_coding	Eloc	-	3054	13149	21.50	49.60545649541331
chr1	16657552	16662278	lncRNA	D030040B21Rik	+	2788	124	0.22	0.5124301489883972
chr1	16665191	16678275	protein_coding	Tmem70	+	1732	8822	25.44	58.68470471839046
chr1	16688456	16709605	protein_coding	Ly96	+	603	594	4.92	11.349451956554764
chr1	16942104	17097922	protein_coding	Jph1	-	5370	8	0.01	0.017164116722288115
chr1	17097833	17100793	lncRNA	Gm46085	+	2233	2	0.00	0.010319223779521627
chr1	17098573	17124568	lncRNA	Gm31982	-	735	0	0.00	0.0
chr1	17120597	17128971	lncRNA	Gm28783	+	2937	0	0.00	0.0
chr1	17145373	17164271	protein_coding	Gdap1	+	3938	1	0.00	0.002925701714026383
chr1	17168402	17173109	lncRNA	Gm28784	+	3946	15	0.02	0.04379655353460174
chr1	17202970	17205577	lncRNA	Gm39597	+	472	0	0.00	0.0
chr1	17601901	17630939	protein_coding	Pi15	+	6923	37	0.03	0.06157623775009796
chr1	17615083	17641382	lncRNA	Gm28154	-	5228	4	0.00	0.008815159410739019
chr1	17676027	17727646	lncRNA	Gm16070	-	2264	19	0.04	0.09669030638113166
chr1	17727029	17767235	protein_coding	Crispld1	+	5205	4	0.00	0.00885411208440799
chr1	18114889	18145902	protein_coding	Crisp4	-	1732	2	0.01	0.013304172459394801
chr1	18210053	18223564	transcribed_pseudogene	Defb44-ps	-	222	0	0.00	0.0
chr1	18236402	18237476	protein_coding	Defb18	-	362	0	0.00	0.0
chr1	18250978	18265138	protein_coding	Defb41	-	745	0	0.00	0.0
chr1	19063300	19104840	lncRNA	Gm15825	-	918	1	0.01	0.01255055920461427
chr1	19103022	19168592	protein_coding	Tfap2d	+	4951	3	0.00	0.006981264401031649
chr1	19208908	19238845	protein_coding	Tfap2b	+	9245	78	0.04	0.09720608342749595
chr1	19606089	19636734	lncRNA	Gm32651	+	369	1	0.01	0.031223342411479397
chr1	20057779	20618082	protein_coding	Pkhd1	-	15294	99	0.03	0.0745795685650421
chr1	20356454	20392300	lncRNA	4930486I03Rik	+	786	0	0.00	0.0
chr1	20444811	20444912	snRNA	LOC115487586	-	102	0	0.00	0.0
chr1	20669882	20682958	lncRNA	Lincmd1	+	521	0	0.00	0.0
chr1	20679010	20679082	miRNA	Mir206	+	73	1	0.07	0.15782758013473833
chr1	20682769	20682887	miRNA	Mir133b	+	119	0	0.00	0.0
chr1	20730905	20734496	protein_coding	Il17a	+	1171	3	0.01	0.02951685742912698
chr1	20777146	20785274	protein_coding	Il17f	-	1958	8	0.02	0.04707421184815484
chr1	20802966	20820312	protein_coding	Mcm3	-	3033	44301	72.95	168.28556967064955
chr1	20842535	20842666	snoRNA	LOC115485821	-	132	0	0.00	0.0
chr1	20888650	20890473	lncRNA	6720483E21Rik	-	1120	2	0.01	0.02057395241042124
chr1	20890548	20939650	protein_coding	Paqr8	+	5516	69	0.06	0.1441221031796006
chr1	20915410	20915540	snoRNA	LOC115485789	-	131	0	0.00	0.0
chr1	20925557	20959216	lncRNA	LOC115487083	-	795	19	0.12	0.27535453288915984
chr1	20951553	20990841	protein_coding	Efhc1	+	2355	382	0.81	1.8688661994213642
chr1	21001397	21079225	protein_coding	Tram2	-	1390	1455	5.23	12.06018447770592
chr1	21166436	21230167	protein_coding	Tmem14a	+	1467	196	0.67	1.5393299363107267
chr1	21189046	21193323	lncRNA	Gm32947	-	978	0	0.00	0.0
chr1	21207528	21271685	lncRNA	Gm28836	-	1142	2	0.01	0.020177606567138174
chr1	21240565	21265575	protein_coding	Gsta3	+	1630	7	0.02	0.049478462238559076
chr1	21285246	21298312	transcribed_pseudogene	Gm4956	-	1148	0	0.00	0.0
chr1	21349677	21352199	protein_coding	Khdc1a	+	1950	0	0.00	0.0
chr1	21368331	21369743	protein_coding	Khdc1c	+	844	0	0.00	0.0
chr1	21369788	21381308	lncRNA	Gm33147	-	163	0	0.00	0.0
chr1	21383556	21386384	protein_coding	Khdc1b	+	2247	0	0.00	0.0
chr1	21398399	21962650	protein_coding	Kcnq5	-	7718	16	0.01	0.02388476465371526
chr1	22285972	22806003	protein_coding	Rims1	-	6965	6	0.00	0.00992512277085648
chr1	22898387	22905081	lncRNA	Gm7759	+	1447	4	0.01	0.03184910393873088
chr1	23100473	23102253	protein_coding	4933415F23Rik	-	1781	14	0.04	0.09056697748326926
chr1	23123989	23127725	lncRNA	Gm30442	+	238	0	0.00	0.0
chr1	23228493	23235658	lncRNA	Gm29506	-	629	0	0.00	0.0
chr1	23272269	23272339	miRNA	Mir30a	+	71	36	2.53	5.841843388649187
chr1	23291701	23291784	miRNA	Mir30c-2	+	84	21	1.25	2.8803533374589745
chr1	23366424	23383219	protein_coding	Ogfrl1	-	4891	1401	1.43	3.30024536968311
chr1	23391747	23399959	lncRNA	Gm19673	-	3711	1	0.00	0.003104665413590918
chr1	23574587	23596664	lncRNA	Gm28822	+	778	0	0.00	0.0
chr1	23761926	23847865	protein_coding	B3gat2	+	4362	77	0.09	0.20338120768852913
chr1	23844825	23922381	protein_coding	Smap1	-	3117	4642	7.44	17.158293477683102
chr1	23977537	23999843	lncRNA	Gm26524	+	1359	6	0.02	0.050867167107443254
chr1	23995939	24005640	protein_coding	Sdhaf4	-	667	2058	15.41	35.548828596645095
chr1	24010758	24100484	protein_coding	Fam135a	-	6853	2653	1.93	4.460281572612671
chr1	24177589	24252738	protein_coding	Col9a1	+	4242	7	0.01	0.019012233250554286
chr1	24257683	24587922	protein_coding	Col19a1	-	12414	22	0.01	0.02041816446724583
chr1	24548841	24548977	snoRNA	LOC115485770	-	137	0	0.00	0.0
chr1	24676992	24766301	protein_coding	Lmbrd1	+	7085	8229	5.80	13.38175165219472
chr1	25026578	25027593	lncRNA	Gm29414	-	723	0	0.00	0.0
chr1	25067476	25834772	protein_coding	Adgrb3	-	10593	8	0.00	0.008701152345764863
chr1	25276404	25277954	protein_coding	Gm20172	-	1551	1	0.00	0.007428377401570534
chr1	25279445	25279551	snRNA	LOC115487583	-	107	0	0.00	0.0
chr1	25451071	25451174	snRNA	LOC115487617	+	104	0	0.00	0.0
chr1	25833490	25837285	lncRNA	Gm9884	+	2608	3	0.01	0.013253159528185465
chr1	25879168	25892305	lncRNA	Gm39614	+	279	0	0.00	0.0
chr1	25896970	25903608	lncRNA	Gm31076	-	248	0	0.00	0.0
chr1	26619658	26775020	lncRNA	Gm31136	+	1069	1	0.00	0.010777748690211317
chr1	26681801	26687460	protein_coding	4931408C20Rik	-	4331	1	0.00	0.0026602201223356954
chr1	27884046	27902187	lncRNA	Gm5524	+	1793	5	0.01	0.032128871583479914
chr1	28776122	28780252	protein_coding	Gm597	-	2882	1	0.00	0.003997714555807043
chr1	28796145	28895588	lncRNA	Gm45942	-	632	0	0.00	0.0
chr1	29421488	29421612	miRNA	Mir6342	+	125	0	0.00	0.0
chr1	30121013	30138836	lncRNA	Gm31465	-	2364	0	0.00	0.0
chr1	30171705	30262611	lncRNA	Gm31525	-	3053	1	0.00	0.0037738006386622658
chr1	30502457	30516511	lncRNA	Gm31581	+	397	0	0.00	0.0
chr1	30633638	30700502	lncRNA	Gm39615	-	644	0	0.00	0.0
chr1	30719397	30719540	snoRNA	LOC115487655	+	144	0	0.00	0.0
chr1	30802342	30873922	protein_coding	Phf3	-	8461	21403	12.63	29.144641286672694
chr1	30873169	30873854	misc_RNA	Gm7256	+	686	0	0.00	0.0
chr1	30940303	30949877	protein_coding	Ptp4a1	-	4609	5524	5.99	13.808697623018768
chr1	30949396	30951023	protein_coding	LOC115487084	+	1628	51	0.16	0.3609287965857683
chr1	31019188	31096454	lncRNA	Gm29669	-	881	1	0.01	0.013077654199586716
chr1	31019328	31044774	lncRNA	Gm28644	+	4879	7	0.01	0.016530004806077327
chr1	31141078	31222656	lncRNA	4931428L18Rik	-	1094	15	0.07	0.15797184666136968
chr1	31176281	31204725	protein_coding	Lgsn	+	2059	2	0.00	0.011191270859481201
chr1	31222839	31224287	protein_coding	Pih1d3	+	1449	0	0.00	0.0
chr1	31259593	31259719	snoRNA	LOC115485790	-	127	0	0.00	0.0
chr1	31264847	31268061	transcribed_pseudogene	Gm4850	+	914	2	0.01	0.025210970130931938
chr1	31371842	31371984	snoRNA	LOC115487662	-	143	0	0.00	0.0
chr1	31656632	31656738	snRNA	LOC115487630	-	107	0	0.00	0.0
chr1	32152029	32154258	lncRNA	LOC115487371	+	283	0	0.00	0.0
chr1	32172602	32705224	protein_coding	Khdrbs2	+	3300	1	0.00	0.0034913373787381504
chr1	32213133	32213239	snRNA	LOC115487604	-	107	0	0.00	0.0
chr1	32519563	32520999	protein_coding	Gm9839	-	1437	3	0.01	0.024053055010095813
chr1	32543546	32547293	protein_coding	Gm5415	-	3748	10	0.01	0.030740163686862054
chr1	32568359	32568421	snRNA	LOC115487635	-	63	0	0.00	0.0
chr1	33133243	33176166	lncRNA	Gm39616	-	1483	0	0.00	0.0
chr1	33191993	33192102	snRNA	LOC115487628	+	110	0	0.00	0.0
chr1	33290823	33354602	lncRNA	Gm39617	-	325	1	0.02	0.035450502614879684
chr1	33293676	33293784	snRNA	LOC115487597	+	109	0	0.00	0.0
chr1	33422733	33422838	snRNA	LOC115487581	+	106	0	0.00	0.0
chr1	33453808	33669808	protein_coding	Prim2	-	3604	7905	10.95	25.271024564498543
chr1	33669824	33670712	lncRNA	1700001G17Rik	+	889	60	0.34	0.7775982013387558
chr1	33714181	33719846	lncRNA	Gm32229	-	415	65	0.78	1.8045587174441768
chr1	33719896	33742564	protein_coding	Rab23	+	4703	5009	5.32	12.271052406831384
chr1	33745484	33757750	protein_coding	Bag2	-	1977	5588	14.12	32.56533019670359
chr1	33761541	33815602	protein_coding	Zfp451	-	9158	7417	4.04	9.33111190387998
chr1	33835899	33838914	protein_coding	Gm15455	-	3016	1147	1.90	4.381651562421013
chr1	33852052	33907933	protein_coding	Bend6	-	2680	2934	5.47	12.613368197171091
chr1	33873086	33874756	lncRNA	Gm38471	-	1199	68	0.28	0.6534246103326448
chr1	33907888	34308662	protein_coding	Dst	+	41725	40244	4.82	11.112468756160476
chr1	34117359	34117431	miRNA	Mir6896	+	73	0	0.00	0.0
chr1	34122639	34135121	lncRNA	LOC115487354	-	3952	15	0.02	0.043730060791381184
chr1	34433121	34433199	miRNA	Mir5103	-	79	1	0.06	0.14584067531437844
chr1	34434812	34434883	tRNA	n-TEttc1	-	72	4	0.28	0.6400785194353276
chr1	34436670	34439672	protein_coding	Ccdc115	-	1705	2196	6.43	14.83931009750125
chr1	34439829	34445747	protein_coding	Imp4	+	2249	7398	16.43	37.8992512059075
chr1	34455230	34461035	lncRNA	Gm32504	-	5595	12	0.01	0.024710806112248577
chr1	34459729	34473784	protein_coding	Ptpn18	+	1595	15	0.05	0.10835184968497709
chr1	34477167	34499058	lncRNA	4930568A12Rik	-	1540	0	0.00	0.0
chr1	34484347	34487339	lncRNA	Gm32566	+	2114	6	0.01	0.032700321711927806
chr1	34498412	34503062	protein_coding	Prss39	+	1330	4	0.02	0.034650867217551576
chr1	34535648	34544311	protein_coding	Cfc1	+	1038	0	0.00	0.0
chr1	34536448	34561004	protein_coding	Prss40	-	2395	7	0.01	0.03367427701413415
chr1	34578907	34590944	protein_coding	Amer3	+	5925	6	0.01	0.011667254025150276
chr1	34633535	34636210	transcribed_pseudogene	AA619741	-	2676	1	0.00	0.0043054608930627415
chr1	34657236	34666883	lncRNA	Gm38647	-	1226	2	0.01	0.01879512781376166
chr1	34677949	34812754	protein_coding	Arhgef4	+	8099	271	0.17	0.38551710307513626
chr1	34681741	34689020	lncRNA	Gm32920	-	5174	1	0.00	0.0022267903652562616
chr1	34748272	34792553	lncRNA	Gm32790	-	21495	103	0.02	0.05520844731486845
chr1	34813218	34843050	protein_coding	Fam168b	-	5080	28840	28.35	65.40896870261166
chr1	34849959	34879585	protein_coding	Plekhb2	+	6482	6019	4.64	10.698455253419048
chr1	35178956	35179084	snoRNA	LOC115485778	-	129	0	0.00	0.0
chr1	35761602	35761706	snRNA	LOC115487610	+	105	0	0.00	0.0
chr1	35869948	35881165	lncRNA	1110002O04Rik	+	840	0	0.00	0.0
chr1	35942013	35955016	lncRNA	Gm33176	+	599	40	0.33	0.7693765175182569
chr1	35959999	35965098	lncRNA	Gm39622	+	504	0	0.00	0.0
chr1	36001939	36011165	lncRNA	Gm33222	-	1928	4	0.01	0.023903347198829663
chr1	36016795	36021488	lncRNA	Gm39623	+	440	0	0.00	0.0
chr1	36058727	36066243	lncRNA	Gm39624	-	2277	4	0.01	0.02023963697819218
chr1	36068400	36106446	protein_coding	Hs6st1	+	3719	14653	19.68	45.394802316522025
chr1	36131985	36137221	lncRNA	Gm33280	+	4124	137	0.17	0.38274336297951456
chr1	36140028	36244320	protein_coding	Uggt1	-	9047	33484	18.48	42.64209181009232
chr1	36144252	36144313	miRNA	Mir6897	-	62	1	0.08	0.18582924757799832
chr1	36244309	36250542	lncRNA	Gm39625	+	268	10	0.19	0.429903483202832
chr1	36264602	36274674	protein_coding	Neurl3	-	2969	6046	10.17	23.461928296769226
chr1	36307733	36324037	protein_coding	Arid5a	+	9804	1358	0.69	1.5958873244672738
chr1	36335730	36369193	protein_coding	Kansl3	-	7986	13711	8.57	19.780878842925116
chr1	36348682	36348758	miRNA	Mir6898	-	77	0	0.00	0.0
chr1	36372183	36422110	protein_coding	Fer1l5	+	7748	10	0.01	0.01487017727134215
chr1	36418900	36445271	protein_coding	Lman2l	-	6576	3705	2.81	6.491307247740572
chr1	36461978	36462873	lncRNA	Gm33401	+	445	0	0.00	0.0
chr1	36463212	36471694	lncRNA	Gm33454	-	2806	18	0.03	0.07390785470315259
chr1	36471597	36508776	protein_coding	Cnnm4	+	4582	1523	1.66	3.8295749742034197
chr1	36511867	36528237	protein_coding	Cnnm3	+	5292	4177	3.94	9.093904679188311
chr1	36530193	36536556	protein_coding	Ankrd23	-	2365	501	1.06	2.4406884094155537
chr1	36538171	36547252	protein_coding	Ankrd39	-	2050	925	2.25	5.19868651151132
chr1	36548639	36560699	protein_coding	Sema4c	-	7364	3438	2.33	5.378954249964125
chr1	36562696	36683190	protein_coding	Fam178b	-	3226	13	0.02	0.046428510089233314
chr1	36691487	36693388	protein_coding	Cox5b	+	569	18917	166.04	383.04143469041423
chr1	36698114	36710017	protein_coding	Actr1b	-	3400	30967	45.49	104.93635506010828
chr1	36712848	36744792	lncRNA	Gm33533	-	5494	16	0.01	0.033553442591440545
chr1	36714538	36757960	lncRNA	4933424G06Rik	+	1127	7	0.03	0.0715615736014652
chr1	36761798	36782821	protein_coding	Zap70	+	2986	49	0.08	0.18906538986669755
chr1	36792189	36939614	protein_coding	Tmem131	-	7253	19049	13.12	30.25939651192941
chr1	37029158	37187608	protein_coding	Vwa3b	+	6482	8	0.01	0.01421957833981598
chr1	37042567	37046351	lncRNA	Gm39626	-	432	0	0.00	0.0
chr1	37132273	37150096	lncRNA	Gm37020	-	2118	1	0.00	0.005439760788402218
chr1	37218241	37263384	protein_coding	Cnga3	+	3869	58	0.07	0.17271697448707213
chr1	37299827	37410740	protein_coding	Inpp4a	+	10695	4026	1.88	4.337093047820414
chr1	37314437	37334232	lncRNA	4930439A04Rik	-	4577	18	0.02	0.045310343084344805
chr1	37417085	37430103	protein_coding	Coa5	-	3862	15239	19.71	45.462148637532174
chr1	37430139	37438987	protein_coding	Unc50	+	1308	4331	16.54	38.149266986345005
chr1	37439340	37541060	protein_coding	Mgat4a	-	7596	716	0.47	1.0860099998002242
chr1	37485851	37488605	transcribed_pseudogene	4930594C11Rik	-	2755	580	1.05	2.4255607052286097
chr1	37499037	37503560	lncRNA	Gm39627	-	4440	6	0.01	0.015569477499778241
chr1	37611676	37720089	protein_coding	2010300C02Rik	-	5833	25	0.02	0.04938030751686909
chr1	37614507	37615373	lncRNA	4930556I23Rik	+	536	0	0.00	0.0
chr1	37653484	37671057	lncRNA	4930470B04Rik	+	3513	3	0.00	0.00983895247637566
chr1	37684542	37695572	lncRNA	Gm39628	+	5406	13	0.01	0.02770595145169565
chr1	37754570	37866426	protein_coding	Tsga10	-	12665	285	0.11	0.25926591430740076
chr1	37868502	37878972	protein_coding	Lipt1	+	8276	1002	0.60	1.3949318724668403
chr1	37874801	37890449	protein_coding	Mitd1	-	2476	2156	4.35	10.032377698807025
chr1	37890477	37898338	protein_coding	Mrpl30	+	2360	8254	17.47	40.295654995570125
chr1	37905923	37916493	protein_coding	Lyg2	-	2564	0	0.00	0.0
chr1	37946738	37957759	protein_coding	Lyg1	-	798	1	0.01	0.014437861340646486
chr1	37983867	37997294	protein_coding	Txndc9	-	4898	9198	9.38	21.636169863575045
chr1	37998010	38055579	protein_coding	Eif5b	+	7797	21335	13.67	31.52614516079888
chr1	38023490	38032277	lncRNA	Gm34448	-	2678	24	0.04	0.10325389111130005
chr1	38052786	38129921	protein_coding	Rev1	-	5316	4421	4.15	9.581672012720936
chr1	38132083	38159892	lncRNA	Gm5099	+	1848	5	0.01	0.031172655167304913
chr1	38175393	38630178	protein_coding	Aff3	-	10355	452	0.22	0.5029144214510696
chr1	38219302	38247651	lncRNA	Gm16150	+	27693	105	0.02	0.043684266844789994
chr1	38630667	38653368	lncRNA	Gm34596	+	6152	5	0.00	0.009363957534001866
chr1	38689475	38689617	snoRNA	LOC115487659	-	143	0	0.00	0.0
chr1	38793669	38836687	protein_coding	Lonrf2	-	6884	25	0.02	0.04184127451276837
chr1	38863867	38898177	protein_coding	Chst10	-	3250	5	0.01	0.017725251307439842
chr1	38896610	38898950	protein_coding	LOC115486944	+	1512	2	0.01	0.015239964748460181
chr1	38939149	38950276	protein_coding	Nms	+	1001	0	0.00	0.0
chr1	38980806	38981748	lncRNA	Gm35171	+	417	1	0.01	0.027629288608719178
chr1	38987814	38997236	protein_coding	Pdcl3	+	1706	11488	33.63	77.58381979068862
chr1	39026007	39027357	lncRNA	Gm35222	-	349	1	0.01	0.03301264570153552
chr1	39186896	39186992	miRNA	Mir6349	-	97	0	0.00	0.0
chr1	39193702	39363240	protein_coding	Npas2	+	4488	15	0.02	0.03850739755961195
chr1	39367851	39371911	protein_coding	Rpl31	+	1254	34490	137.36	316.8848057702074
chr1	39371495	39478778	protein_coding	Tbc1d8	-	5227	264	0.25	0.5819118278853409
chr1	39519533	39519747	snoRNA	LOC115487696	+	215	0	0.00	0.0
chr1	39535701	39546881	protein_coding	Cnot11	+	3271	9006	13.75	31.721751338618798
chr1	39548747	39548840	snoRNA	Snord89	-	94	24	1.28	2.941637451021931
chr1	39551294	39577439	protein_coding	Rnf149	-	7374	8998	6.09	14.058811679118987
chr1	39573746	39573875	snoRNA	LOC115485772	-	130	0	0.00	0.0
chr1	39592289	39598519	lncRNA	LOC115487085	+	728	186	1.28	2.9436578064141163
chr1	39618406	39652052	protein_coding	Creg2	-	6669	5	0.00	0.008638036699532087
chr1	39651468	39658419	lncRNA	D930019O06Rik	+	4245	21	0.02	0.056996391129930234
chr1	39665299	39720989	protein_coding	Rfx8	-	2495	1	0.00	0.004617800941817995
chr1	39804141	39805332	protein_coding	Gm3646	-	359	0	0.00	0.0
chr1	39842428	39847330	lncRNA	1700066B17Rik	-	531	0	0.00	0.0
chr1	39852453	39864814	lncRNA	Gm35600	+	551	2	0.02	0.04182001215911396
chr1	39900902	40026310	protein_coding	Map4k4	+	6078	29532	24.27	55.98064808281568
chr1	40076212	40085851	lncRNA	Gm16894	-	858	3	0.02	0.04028466206236328
chr1	40084692	40125230	protein_coding	Il1r2	+	4068	7	0.01	0.0198254408674659
chr1	40149100	40152599	lncRNA	Gm35741	+	764	0	0.00	0.0
chr1	40222480	40316201	protein_coding	Il1r1	+	6715	2185	1.63	3.748963241904905
